"Date","Temper- ature, water, deg C,(Maximum)","Temper- ature, water, deg C,(Minimum)","Temper- ature, water, deg C,(Mean)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Maximum)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Minimum)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Mean)","pH, water,unfltrd field,  std units,(Maximum)","pH, water,unfltrd field,  std units,(Minimum)","pH, water,unfltrd field,  std units,(Median)","Dis- solvedoxygen,  mg/L,(Maximum)","Dis- solvedoxygen,  mg/L,(Minimum)","Dis- solvedoxygen,  mg/L,(Mean)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Mean)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Minimum)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Maximum)"
"01/13/2022","15.3P","14.7P","15.0P","222P","191P","198P","7.5P","7.4P","7.4P","8.6P","8.3P","8.5P","58.6P","51.2P","64.4P"
"01/14/2022","15.2P","14.7P","15.0P","200P","189P","193P","7.4P","7.4P","7.4P","8.7P","8.4P","8.5P","53.1P","47.1P","63.3P"
"01/15/2022","15.2P","13.5P","14.6P","205P","196P","202P","7.5P","7.4P","7.4P","9.2P","8.4P","8.7P","45.3P","42.7P","51.0P"
"01/16/2022","13.6P","12.7P","13.0P","217P","205P","210P","7.6P","7.5P","7.5P","9.4P","9.1P","9.3P","41.3P","35.6P","45.3P"
"01/17/2022","13.0P","12.4P","12.7P","234P","216P","225P","7.6P","7.5P","7.5P","9.5P","9.3P","9.4P","34.8P","29.8P","41.0P"
"01/18/2022","13.2P","12.4P","12.7P","247P","234P","240P","7.6P","7.5P","7.6P","9.7P","9.5P","9.6P","30.4P","27.4P","34.1P"
"01/19/2022","14.4P","13.0P","13.6P","273P","245P","254P","7.7P","7.6P","7.6P","9.8P","9.6P","9.7P","27.5P","25.4P","31.6P"
"01/20/2022","14.1P","12.5P","13.4P","280P","266P","272P","7.7P","7.6P","7.7P","9.9P","9.6P","9.8P","25.5P","24.5P","27.0P"
"01/21/2022","12.6P","11.8P","12.1P","286P","272P","278P","7.7P","7.7P","7.7P","10.0P","9.8P","9.9P","25.5P","23.2P","28.5P"
"01/22/2022","11.9P","11.2P","11.4P","282P","265P","273P","7.7P","7.7P","7.7P","10.1P","9.9P","10.0P","31.7P","25.8P","37.4P"
"01/23/2022","11.5P","10.9P","11.2P","273P","261P","266P","7.7P","7.6P","7.7P","10.3P","10.0P","10.1P","32.0P","28.1P","35.7P"
"01/24/2022","11.2P","10.8P","11.1P","281P","267P","273P","7.7P","7.6P","7.6P","10.3P","10.2P","10.2P","27.3P","24.4P","31.0P"
"01/25/2022","11.2P","10.8P","11.0P","295P","276P","284P","7.6P","7.6P","7.6P","10.3P","10.2P","10.2P","24.4P","23.1P","26.6P"
"01/26/2022","11.3P","10.7P","11.0P","298P","285P","290P","7.7P","7.6P","7.7P","10.5P","10.2P","10.4P","23.3P","21.8P","24.8P"
"01/27/2022","11.5P","10.9P","11.2P","313P","294P","300P","7.7P","7.7P","7.7P","10.5P","10.3P","10.5P","22.3P","20.7P","24.9P"
"01/28/2022","11.7P","11.2P","11.4P","311P","302P","308P","7.8P","7.7P","7.7P","10.6P","10.4P","10.5P","21.2P","20.2P","23.2P"
"01/29/2022","12.0P","11.1P","11.5P","322P","311P","316P","7.8P","7.7P","7.8P","10.8P","10.5P","10.6P","20.5P","18.7P","22.0P"
"01/30/2022","12.4P","11.4P","11.8P","329P","321P","325P","7.8P","7.7P","7.8P","10.9P","10.5P","10.7P","18.5P","17.5P","21.2P"
"01/31/2022","12.4P","12.0P","12.2P","334P","329P","332P","7.8P","7.8P","7.8P","10.7P","10.3P","10.5P","18.5P","17.4P","21.1P"
"02/01/2022","12.9P","12.4P","12.6P","340P","334P","337P","7.8P","7.7P","7.8P","10.3P","10.2P","10.2P","17.5P","16.0P","21.9P"
"02/02/2022","13.7P","12.9P","13.2P","348P","340P","344P","7.8P","7.7P","7.7P","10.2P","9.9P","10.0P","17.5P","16.3P","21.3P"
"02/03/2022","13.7P","12.4P","13.1P","349P","344P","347P","7.8P","7.7P","7.8P","10.0P","9.7P","9.9P","18.2P","15.9P","22.7P"
"02/04/2022","12.4P","10.8P","11.5P","353P","347P","351P","7.9P","7.8P","7.8P","10.5P","10.0P","10.2P","16.6P","15.0P","20.0P"
"02/05/2022","11.1P","10.1P","10.5P","352P","339P","347P","8.0P","7.9P","7.9P","11.0P","10.4P","10.7P","19.3P","16.3P","24.0P"
"02/06/2022","10.4P","9.6P","10.0P","342P","326P","332P","8.0P","7.8P","7.9P","11.4P","10.8P","11.1P","22.9P","20.1P","24.8P"
"02/07/2022","10.5P","9.8P","10.0P","330P","326P","327P","7.9P","7.8P","7.9P","11.3P","11.1P","11.2P","23.2P","21.4P","26.0P"
"02/08/2022","10.6P","9.9P","10.2P","333P","321P","326P","7.9P","7.6P","7.8P","11.4P","11.0P","11.2P","25.2P","23.1P","27.6P"
"02/09/2022","11.3P","10.3P","10.8P","344P","332P","338P","8.0P","7.8P","7.9P","11.4P","11.0P","11.2P","22.6P","20.1P","24.5P"
"02/10/2022","11.7P","11.0P","11.3P","354P","344P","349P","8.0P","7.9P","8.0P","11.4P","11.0P","11.2P","20.3P","18.5P","21.9P"
"02/11/2022","12.5P","11.4P","11.9P","360P","353P","357P","8.2P","8.0P","8.0P","11.5P","10.9P","11.2P","18.5P","16.6P","19.9P"
"02/12/2022","12.4P","11.8P","12.2P","365P","360P","363P","8.1P","8.0P","8.1P","11.2P","10.9P","11.0P","17.4P","16.3P","18.9P"
"02/13/2022","11.9P","11.2P","11.5P","369P","363P","367P","8.2P","8.0P","8.1P","11.2P","10.8P","11.0P","15.9P","13.6P","17.7P"
"02/14/2022","12.1P","11.3P","11.6P","373P","368P","370P","8.2P","8.1P","8.2P","11.7P","11.0P","11.3P","15.2P","13.3P","16.4P"
"02/15/2022","12.6P","11.5P","12.0P","374P","369P","372P","8.3P","8.1P","8.2P","11.7P","11.1P","11.3P","15.6P","14.0P","18.6P"
"02/16/2022","13.7P","12.5P","12.9P","375P","369P","374P","8.3P","8.2P","8.2P","11.4P","10.9P","11.1P","15.5P","14.2P","18.6P"
"02/17/2022","15.2P","13.6P","14.4P","378P","369P","373P","8.2P","8.1P","8.2P","10.9P","10.4P","10.6P","15.0P","13.7P","16.6P"
"02/18/2022","14.3P","13.7P","14.0P","392P","365P","376P","8.2P","8.1P","8.1P","10.6P","10.2P","10.4P","14.6P","13.7P","15.4P"
"02/19/2022","14.5P","13.8P","14.1P","377P","368P","372P","8.2P","8.1P","8.1P","10.9P","10.3P","10.5P","14.7P","13.7P","15.6P"
"02/20/2022","14.4P","14.0P","14.1P","383P","371P","377P","8.1P","8.0P","8.1P","10.7P","10.3P","10.5P","15.5P","13.7P","17.0P"
"02/21/2022","15.5P","14.1P","14.8P","384P","375P","379P","8.2P","8.0P","8.0P","10.6P","10.0P","10.3P","15.6P","14.2P","19.2P"
"02/22/2022","16.6P","15.4P","16.0P","389P","374P","381P","8.0P","7.9P","8.0P","10.2P","9.6P","9.9P","15.5P","14.2P","17.1P"
"02/23/2022","16.8P","16.0P","16.5P","385P","378P","382P","7.9P","7.8P","7.9P","9.8P","9.3P","9.5P","16.6P","14.3P","18.0P"
"02/24/2022","16.0P","15.4P","15.7P","388P","379P","383P","7.8P","7.8P","7.8P","9.4P","8.9P","9.2P","17.2P","15.5P","18.4P"
"02/25/2022","15.4P","14.2P","14.7P","394P","376P","382P","7.9P","7.8P","7.8P","9.6P","9.1P","9.3P","17.6P","16.0P","19.2P"
"02/26/2022","14.2P","12.9P","13.5P","387P","377P","386P","7.8P","7.8P","7.8P","9.7P","9.4P","9.6P","18.7P","17.0P","19.9P"
"02/27/2022","13.1P","12.3P","12.6P","388P","387P","387P","7.9P","7.8P","7.9P","10.4P","9.6P","10.0P","","",""
"02/28/2022","13.0P","12.0P","12.4P","388P","379P","384P","8.0P","7.8P","7.9P","10.8P","10.1P","10.5P","","",""
"03/01/2022","13.3P","12.1P","12.7P","387P","382P","386P","8.0P","7.9P","8.0P","11.2P","10.5P","10.8P","","",""
"03/02/2022","13.7P","12.5P","13.1P","","","","8.1P","7.9P","8.0P","11.4P","10.7P","11.0P","","",""
"03/03/2022","14.7P","13.4P","13.9P","404P","379P","385P","8.1P","8.0P","8.0P","11.3P","10.6P","10.9P","","",""
"03/04/2022","15.5P","14.3P","14.8P","404P","377P","383P","8.0P","7.9P","8.0P","11.0P","10.4P","10.6P","","",""
"03/05/2022","16.9P","15.5P","16.1P","389P","377P","382P","8.0P","7.9P","8.0P","10.5P","9.8P","10.2P","","",""
"03/06/2022","18.4P","16.8P","17.6P","402P","379P","384P","8.0P","7.9P","8.0P","9.9P","8.9P","9.5P","","",""
"03/07/2022","18.4P","17.5P","18.0P","398P","381P","388P","7.9P","7.8P","7.9P","9.2P","8.8P","9.0P","15.8P","13.7P","21.8P"
"03/08/2022","17.5P","16.4P","17.0P","400P","384P","390P","7.9P","7.9P","7.9P","9.0P","8.7P","8.9P","19.1P","13.0P","35.8P"
"03/09/2022","16.4P","15.8P","16.1P","392P","382P","389P","8.0P","7.9P","8.0P","9.2P","8.8P","9.0P","18.1P","13.0P","32.4P"
"03/10/2022","16.4P","15.5P","15.9P","398P","384P","391P","8.1P","7.9P","8.0P","9.9P","8.9P","9.4P","16.1P","12.1P","37.1P"
"03/11/2022","16.1P","14.8P","15.6P","393P","386P","390P","8.0P","7.9P","7.9P","9.8P","9.3P","9.5P","15.8P","11.1P","36.5P"
"03/12/2022","15.0P","13.7P","14.2P","389P","349P","371P","8.0P","7.8P","7.9P","10.1P","9.5P","9.8P","19.5P","11.9P","34.4P"
"03/13/2022","14.1P","13.4P","13.8P","373P","367P","370P","7.9P","7.8P","7.9P","10.4P","9.7P","10.1P","21.0P","18.3P","22.6P"
"03/14/2022","15.2P","13.8P","14.4P","379P","365P","372P","8.0P","7.9P","8.0P","10.4P","10.0P","10.2P","20.6P","18.0P","22.2P"
"03/15/2022","15.9P","15.0P","15.4P","378P","368P","374P","8.1P","7.9P","8.0P","10.2P","9.9P","10.0P","18.5P","16.6P","21.6P"
"03/16/2022","17.0P","15.6P","16.2P","393P","376P","386P","8.0P","7.9P","8.0P","9.9P","9.4P","9.8P","22.8P","20.2P","24.6P"
"03/17/2022","17.6P","16.4P","17.1P","409P","371P","394P","8.0P","7.8P","7.9P","9.8P","9.0P","9.4P","23.2P","19.6P","26.0P"
"03/18/2022","18.5P","17.6P","18.0P","382P","361P","373P","7.8P","7.7P","7.8P","9.0P","8.7P","8.9P","24.6P","22.4P","28.1P"
"03/19/2022","18.6P","17.8P","18.2P","376P","355P","366P","7.8P","7.7P","7.8P","8.8P","8.6P","8.7P","22.7P","21.2P","24.5P"
"03/20/2022","19.1P","18.2P","18.6P","375P","350P","362P","7.8P","7.7P","7.7P","9.1P","8.5P","8.7P","22.6P","19.9P","25.6P"
"03/21/2022","19.3P","18.6P","18.9P","374P","353P","362P","7.8P","7.7P","7.8P","8.7P","8.2P","8.5P","23.4P","20.5P","24.7P"
"03/22/2022","19.8P","18.9P","19.3P","371P","358P","366P","7.8P","7.7P","7.8P","8.6P","8.1P","8.3P","21.6P","19.4P","24.1P"
"03/23/2022","19.0P","18.5P","18.7P","372P","350P","364P","7.8P","7.7P","7.7P","8.4P","8.1P","8.2P","22.3P","18.6P","28.4P"
"03/24/2022","18.8P","18.2P","18.5P","356P","318P","335P","7.7P","7.6P","7.7P","8.4P","8.0P","8.2P","28.3P","23.5P","33.6P"
"03/25/2022","19.4P","17.8P","18.2P","343P","319P","334P","7.7P","7.6P","7.6P","8.3P","7.9P","8.0P","36.8P","26.3P","47.8P"
"03/26/2022","19.0P","17.6P","18.1P","370P","336P","353P","7.7P","7.6P","7.7P","8.4P","7.9P","8.2P","38.6P","30.8P","43.6P"
"03/27/2022","20.2P","18.1P","18.8P","374P","352P","364P","7.9P","7.6P","7.7P","9.1P","8.0P","8.4P","30.3P","25.9P","40.7P"
"03/28/2022","19.5P","18.6P","19.0P","400P","353P","374P","7.8P","7.7P","7.8P","8.9P","8.3P","8.5P","26.7P","24.9P","28.8P"
"03/29/2022","19.6P","19.0P","19.3P","408P","369P","391P","7.8P","7.7P","7.8P","8.8P","8.2P","8.6P","29.4P","26.0P","33.8P"
"03/30/2022","20.1P","19.4P","19.7P","419P","375P","391P","7.9P","7.8P","7.8P","8.7P","8.4P","8.6P","29.1P","24.2P","36.9P"
"03/31/2022","20.4P","19.2P","19.5P","408P","379P","390P","7.9P","7.8P","7.8P","8.7P","8.2P","8.3P","27.8P","22.3P","29.9P"
"04/01/2022","20.0P","19.2P","19.6P","406P","383P","391P","7.8P","7.7P","7.8P","8.5P","8.1P","8.3P","28.3P","26.7P","29.9P"
